out,row_names
4,GBAA1643
4,GBAA1841
4,GBAA1939
4,GBAA1988
4,GBAA2017
4,GBAA2036
4,GBAA2162
4,GBAA2250
4,GBAA2284
4,GBAA2303
4,GBAA2328
4,GBAA2341
4,GBAA2362
4,GBAA2436
4,GBAA2451
4,GBAA2452
4,GBAA2453
4,GBAA2454
4,GBAA2461
4,GBAA2626
4,GBAA2669
4,GBAA2804
4,GBAA2820
4,GBAA2829
4,GBAA2845
4,GBAA2859
4,GBAA2863
4,GBAA2887
4,GBAA2912
4,GBAA2913
4,GBAA2913_X
4,GBAA2914
4,GBAA2914_X
4,GBAA2915
4,GBAA2946
4,GBAA3021
4,GBAA3022
4,GBAA3031
4,GBAA3042
4,GBAA3050
4,GBAA3082
4,GBAA3121
4,GBAA3123
4,GBAA3126
4,GBAA3128
4,GBAA3235
4,GBAA3361
4,GBAA3382
4,GBAA3600
4,GBAA3635
4,GBAA3639
4,GBAA3641
4,GBAA3671
4,GBAA3675
4,GBAA3680
4,GBAA3701
4,GBAA3807
4,GBAA3934
4,GBAA3938
4,GBAA3939
4,GBAA4018
4,GBAA4111
4,GBAA4291
4,GBAA4304
4,GBAA4349
4,GBAA4396
4,GBAA4427
4,GBAA4498
4,GBAA4510
4,GBAA4566
4,GBAA4568
4,GBAA4582
4,GBAA4699
4,GBAA4700
4,GBAA4877
4,GBAA4955
4,GBAA4969
4,GBAA4970
4,GBAA4979
4,GBAA4980
4,GBAA5011
4,GBAA5012
4,GBAA5036
4,GBAA5037
4,GBAA5038
4,GBAA5042
4,GBAA5044
4,GBAA5127
4,GBAA5206
4,GBAA5274
4,GBAA5374
4,GBAA5378
4,GBAA5379
4,GBAA5398
4,GBAA5436
4,GBAA5592
4,GBAA5596
4,GBAA_PXO1_0125
5,GBAA0008
5,GBAA0014
5,GBAA0015
5,GBAA0074
5,GBAA0075
5,GBAA0099
5,GBAA0104
5,GBAA0105
5,GBAA0109
5,GBAA0110
5,GBAA0111
5,GBAA0112
5,GBAA0113
5,GBAA0114
5,GBAA0115
5,GBAA0116
5,GBAA0117
5,GBAA0118
5,GBAA0119
5,GBAA0120
5,GBAA0121
5,GBAA0122
5,GBAA0123
5,GBAA0124
5,GBAA0125
5,GBAA0143
5,GBAA0144
5,GBAA0218
5,GBAA0270
5,GBAA0541
5,GBAA0583
5,GBAA0593
5,GBAA0614
5,GBAA0857
5,GBAA1188
5,GBAA1468
5,GBAA1516
5,GBAA1518
5,GBAA1800
5,GBAA1800_S
5,GBAA1801
5,GBAA1875
5,GBAA2239
5,GBAA3228
5,GBAA3451
5,GBAA3744
5,GBAA3752
5,GBAA3965
5,GBAA3978
5,GBAA3981
5,GBAA3982
5,GBAA3996
5,GBAA4003
5,GBAA4004
5,GBAA4062
5,GBAA4264
5,GBAA4267
5,GBAA4284
5,GBAA4431
5,GBAA4432
5,GBAA4490
5,GBAA4535
5,GBAA4537
5,GBAA4538
5,GBAA4547
5,GBAA4561
5,GBAA4609
5,GBAA4683
5,GBAA4684
5,GBAA4804
5,GBAA4818
5,GBAA4905
5,GBAA4908
5,GBAA4943
5,GBAA4944
5,GBAA4961
5,GBAA4975
5,GBAA5115
5,GBAA5147
5,GBAA5152
5,GBAA5205
5,GBAA5255
5,GBAA5313
5,GBAA5315
5,GBAA5316
5,GBAA5431
5,GBAA5433_S
5,GBAA5435
5,GBAA5563
5,GBAA5572
5,GBAA5573
5,GBAA5574
5,GBAA5601
5,GBAA5676
5,GBAA5678
5,GBAA5705
5,GBAA5719
5,GBAA5721
5,GBAA5722
5,GBAA5723
5,GBAA5724
5,GBAA5725
5,GBAA5726
5,GBAA5738
6,GBAA0009
6,GBAA0068
6,GBAA0200
6,GBAA0337
6,GBAA0673
6,GBAA0676
6,GBAA0705
6,GBAA0872
6,GBAA0873
6,GBAA0889
6,GBAA0890
6,GBAA0899
6,GBAA0967
6,GBAA0981
6,GBAA1027
6,GBAA1057
6,GBAA1100
6,GBAA1239
6,GBAA1276
6,GBAA1284
6,GBAA1297
6,GBAA1301
6,GBAA1312
6,GBAA1449
6,GBAA1657
6,GBAA1662
6,GBAA1665
6,GBAA1666
6,GBAA1704
6,GBAA1799
6,GBAA1802
6,GBAA1834
6,GBAA1835
6,GBAA1868
6,GBAA1909
6,GBAA1976
6,GBAA1995
6,GBAA2115
6,GBAA2176
6,GBAA2228
6,GBAA2229
6,GBAA2240
6,GBAA2526
6,GBAA2528
6,GBAA2560
6,GBAA2713
6,GBAA3098
6,GBAA3136
6,GBAA3137
6,GBAA3236
6,GBAA3243
6,GBAA3248
6,GBAA3250
6,GBAA3335
6,GBAA3391
6,GBAA3392
6,GBAA3394
6,GBAA3560
6,GBAA3619
6,GBAA3955
6,GBAA3976
6,GBAA3986
6,GBAA3993
6,GBAA4007
6,GBAA4574
6,GBAA4674
6,GBAA4740
6,GBAA4756
6,GBAA4780
6,GBAA4792
6,GBAA4911
6,GBAA5076
6,GBAA5105
6,GBAA5193
6,GBAA5287
6,GBAA5288
6,GBAA5324
6,GBAA5488
6,GBAA5498
6,GBAA5506
6,GBAA5509
6,GBAA5560
6,GBAA5677
6,GBAA5679
6,GBAA5692
7,GBAA0010
7,GBAA0036
7,GBAA0085
7,GBAA0093
7,GBAA0147
7,GBAA0202
7,GBAA0204
7,GBAA0262
7,GBAA0329
7,GBAA0400
7,GBAA0401
7,GBAA0423
7,GBAA0428
7,GBAA0493
7,GBAA0559
7,GBAA0571
7,GBAA0589
7,GBAA0637
7,GBAA0660
7,GBAA0669
7,GBAA0670
7,GBAA0733
7,GBAA0849
7,GBAA0882
7,GBAA0897
7,GBAA0905
7,GBAA0923
7,GBAA0995
